"ID","Handle","Command","Title","Body HTML","Sort Order","Template Suffix","Updated At","Published","Published At","Published Scope","Image Src","Image Width","Image Height","Image Alt Text","Row #","Top Row","Must Match","Rule: Product Column","Rule: Relation","Rule: Condition","Products Count","Metafield: title_tag [string]","Metafield: description_tag [string]","Metafield: collection.marketing_h1 [single_line_text_field]","Metafield: collection.sub_categories [list.collection_reference]","Metafield: collection.parent_category [collection_reference]","Metafield: collection.child_collections [list.collection_reference]","Metafield: collection.collection_bottom_description [list.metaobject_reference]","Metafield: collection.below_category_content [rich_text_field]","Metafield: collection.promo_block_1 [metaobject_reference]","Metafield: collection.promo_block_2 [metaobject_reference]","Metafield: collection.promo_block_3 [metaobject_reference]","Metafield: collection.promo_block_4 [metaobject_reference]"
"310340190345","casual-womens","MERGE","Casual - Women","","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","43","","","Title","Not Contains","clearance","28","","","","","","","","","","","",""
"310340223113","prio-all-day","MERGE","Prio All-Day","","Manual","","2025-10-21 13:18:02 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","44","true","all conditions","Tag","Equals","prio-all-day","5","","","","","","","","","","","",""
"310340288649","spring-2020","MERGE","Spring 2020","","Manual","","2025-10-17 07:50:38 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","45","true","all conditions","Tag","Equals","spring-2020","2","","","","","","","","","","","",""
"310340255881","dlh-fusion","MERGE","DLH Fusion","","Manual","","2025-10-23 13:18:13 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","46","true","all conditions","Tag","Equals","dlh-fusion","2","","","","","","","","","","","",""
"310340321417","water-womens","MERGE","Water - Women","","Best Selling","","2025-10-21 13:18:02 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","47","true","all conditions","Tag","Equals","water-womens","11","","","","","","","","","","","",""
"310340354185","fall-winter-2020","MERGE","Fall/Winter 2020","","Manual","","2025-10-21 13:18:02 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","48","true","all conditions","Tag","Equals","fall-winter-2020","8","","","","","","","","","","","",""
"310340386953","donate","MERGE","Support the Tarahumara","","Manual","","2025-10-20 13:16:52 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","49","true","all conditions","Tag","Equals","donate","1","","","","","","","","","","","",""
"310340419721","fall-winter-2021","MERGE","Fall/Winter 2021","","Manual","","2025-10-21 13:18:01 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","50","true","all conditions","Tag","Equals","fall-winter-2021","7","","","","","","","","","","","",""
"310340452489","aqua-x-sport","MERGE","Aqua X Sport","","Manual","","2025-10-21 13:18:01 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","51","true","all conditions","Tag","Equals","aqua-x-sport","4","","","","","","","","","","","",""
"310340485257","spring-2021","MERGE","Spring 2021","","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","52","true","all conditions","Tag","Equals","spring-2021","10","","","","","","","","","","","",""
"310340518025","colorado","MERGE","Colorado","<div style=""min-height:170px"">
<img class=""alignleft wp-image-3172988 size-thumbnail"" src=""https://xeroshoes.com/wp-content/uploads/2020/01/Colorado_Olive_pair-150x150.jpg"" alt="""" width=""150"" height=""150"">
<h1>
<strong>Colorado</strong> -- The water and trail-friendly toe-protective sandal</h1>
</div>","Manual","","2025-10-20 13:16:52 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","53","true","all conditions","Tag","Equals","colorado","2","","","","","","","","","","","",""
"310340550793","cassie","MERGE","Cassie","","Manual","","2025-10-21 13:18:01 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","54","true","all conditions","Tag","Equals","cassie","1","","","","","","","","","","","",""
"310340583561","denver","MERGE","Denver","","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","55","true","all conditions","Tag","Equals","denver","4","","","","","","","","","","","",""
"310340616329","aptos","MERGE","Aptos","","Manual","","2025-10-20 13:16:52 +0200","true","2025-10-13 07:58:39 +0200","web","","","","","56","true","all conditions","Tag","Equals","aptos","2","","","","","","","","","","","",""
"310340649097","dlh","MERGE","Daylite Hiker Fusion","","Manual","","2025-10-23 13:18:13 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","57","true","all conditions","Tag","Equals","dlh","3","","","","","","","","","","","",""
"310340681865","hanamen","MERGE","HanaMen","","Manual","","2025-10-20 13:16:52 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","58","true","all conditions","Tag","Equals","hanamen","3","","","","","","","","","","","",""
"310340714633","clearance-womens","MERGE","Clearance - Women","","Best Selling","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","59","true","all conditions","Tag","Equals","clearance-womens","49","","","","","","","","","","","",""
"310340747401","hana","MERGE","Hana","","Manual","","2025-10-20 13:16:52 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","60","true","all conditions","Tag","Equals","hana","3","","","","","","","","","","","",""
"310340780169","support-the-tarahumara","MERGE","Support the Tarahumara","","Manual","","2025-10-16 11:51:44 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","61","true","all conditions","Tag","Equals","support-the-tarahumara","0","","","","","","","","","","","",""
"310340812937","hanawomen","MERGE","HanaWomen","","Manual","","2025-10-13 20:33:15 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","62","true","all conditions","Tag","Equals","hanawomen","0","","","","","","","","","","","",""
"310340845705","bestsellers","MERGE","Best Sellers","<p>Our most popular barefoot shoe styles. Find the perfect shoe for every activity.</p>","Best Selling","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","63","true","all conditions","Tag","Equals","bestsellers","30","","","","","","","","","","","",""
"310340878473","spring-19","MERGE","Spring 2019","","Manual","","2025-10-16 11:52:59 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","64","true","all conditions","Tag","Equals","spring-19","2","","","","","","","","","","","",""
"310340911241","racing","MERGE","racing","","Manual","","2025-10-20 13:16:52 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","65","true","all conditions","Tag","Equals","racing","1","","","","","","","","","","","",""
"310340944009","genesis","MERGE","Genesis","","Manual","","2025-10-23 13:18:13 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","66","true","all conditions","Tag","Equals","genesis","3","","","","","","","","","","","",""
"310340976777","hfs","MERGE","HFS","","Manual","","2025-10-23 13:18:13 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","67","true","all conditions","Tag","Equals","hfs","7","","","","","","","","","","","",""
"310341009545","feeltrue-products","MERGE","FeelTrue Products","","Manual","","2025-10-23 13:18:13 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","68","true","all conditions","Tag","Equals","feeltrue-products","4","","","","","","","","","","","",""
"310341042313","mesa-trail","MERGE","Mesa Trail","","Manual","","2025-10-21 13:18:01 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","69","true","all conditions","Tag","Equals","mesa-trail","11","","","","","","","","","","","",""
"310341075081","oswego","MERGE","Oswego","","Manual","","2025-10-20 13:16:49 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","70","true","all conditions","Tag","Equals","oswego","1","","","","","","","","","","","",""
"310341107849","phoenix","MERGE","Phoenix","","Manual","","2025-10-21 13:18:01 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","71","true","all conditions","Tag","Equals","phoenix","4","","","","","","","","","","","",""
"310341140617","naboso","MERGE","naboso","","Manual","","2025-10-21 13:18:01 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","72","true","all conditions","Tag","Equals","naboso","4","","","","","","","","","","","",""
"310341173385","mika","MERGE","Mika","","Manual","","2025-10-21 13:17:58 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","73","true","all conditions","Tag","Equals","mika","1","","","","","","","","","","","",""
"310341206153","jessie","MERGE","Jessie","","Manual","","2025-10-16 11:51:15 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","74","true","all conditions","Tag","Equals","jessie","0","","","","","","","","","","","",""
"310341238921","melbourne","MERGE","Melbourne","","Manual","","2025-10-20 13:16:52 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","75","true","all conditions","Tag","Equals","melbourne","1","","","","","","","","","","","",""
"310341271689","toronto","MERGE","Toronto","","Manual","","2025-10-17 07:49:22 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","76","true","all conditions","Tag","Equals","toronto","2","","","","","","","","","","","",""
"310341304457","z-trail","MERGE","Z-Trail","","Manual","","2025-10-21 13:18:01 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","77","true","all conditions","Tag","Equals","z-trail","3","","","","","","","","","","","",""
"310341337225","speed-force","MERGE","Speed Force","","Manual","","2025-10-20 13:16:52 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","78","true","all conditions","Tag","Equals","speed-force","4","","","","","","","","","","","",""
"310341369993","clearance","MERGE","Clearance","","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","79","true","all conditions","Tag","Equals","clearance","100","","","","","","","","","","","",""
"310341402761","naboso-trail","MERGE","Naboso Trail","","Manual","","2025-10-16 11:51:17 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","80","true","all conditions","Tag","Equals","naboso-trail","0","","","","","","","","","","","",""
"310341435529","z-trail-adult","MERGE","Z-Trail-adult","","Manual","","2025-10-16 11:49:52 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","81","true","all conditions","Tag","Equals","z-trail-adult","1","","","","","","","","","","","",""
"310341468297","z-trail-ev","MERGE","Z-Trail EV","","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","82","true","all conditions","Tag","Equals","z-trail-ev","4","","","","","","","","","","","",""
"310341501065","z-trek","MERGE","Z-Trek","","Manual","","2025-10-20 13:16:52 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","83","true","all conditions","Tag","Equals","z-trek","2","","","","","","","","","","","",""
"310341533833","xero-gear","MERGE","Xero Gear","","Manual","","2025-10-16 11:51:49 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","84","true","all conditions","Tag","Equals","xero-gear","1","","","","","","","","","","","",""
"310341566601","xcursion","MERGE","Xcursion","","Manual","","2025-10-21 13:18:01 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","85","true","all conditions","Tag","Equals","xcursion","5","","","","","","","","","","","",""
"310341599369","prio","MERGE","Prio","","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","86","true","all conditions","Tag","Equals","prio","17","","","","","","","","","","","",""
"310341632137","360","MERGE","360","","Manual","","2025-10-21 13:18:01 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","87","true","all conditions","Tag","Equals","360","4","","","","","","","","","","","",""
"310341664905","veracruz","MERGE","Veracruz","","Manual","","2025-10-17 07:50:38 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","88","true","all conditions","Tag","Equals","veracruz","2","","","","","","","","","","","",""
"310341697673","temp","MERGE","Temp","","Manual","","2025-10-13 20:33:17 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","89","true","all conditions","Tag","Equals","temp","0","","","","","","","","","","","",""
"310341730441","terraflex","MERGE","TerraFlex","","Manual","","2025-10-21 13:18:01 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","90","true","all conditions","Tag","Equals","terraflex","3","","","","","","","","","","","",""
"310341763209","clearance-mens","MERGE","Clearance - Men","","Best Selling","","2025-10-23 13:18:13 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","91","true","all conditions","Tag","Equals","clearance-mens","47","","","","","","","","","","","",""
"310341795977","xcursion-fusion","MERGE","Xcursion Fusion","","Manual","","2025-10-21 13:18:01 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","92","true","all conditions","Tag","Equals","xcursion-fusion","3","","","","","","","","","","","",""
"310341828745","aqua-cloud","MERGE","Aqua Cloud","","Manual","","2025-10-21 13:18:01 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","93","true","all conditions","Tag","Equals","aqua-cloud","4","","","","","","","","","","","",""
"310341861513","cloud","MERGE","Cloud","","Manual","","2025-10-20 13:16:52 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","94","true","all conditions","Tag","Equals","cloud","1","","","","","","","","","","","",""
"310341927049","prio-all-day-sr","MERGE","Prio All-Day SR","","Manual","","2025-10-21 13:18:02 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","95","true","all conditions","Tag","Equals","prio-all-day-sr","3","","","","","","","","","","","",""
"310341894281","spring-2022","MERGE","Spring 2022","","Manual","","2025-10-21 13:18:02 +0200","true","2025-10-13 07:58:40 +0200","web","","","","","96","true","all conditions","Tag","Equals","spring-2022","14","","","","","","","","","","","",""
"310341959817","mesa-trail-wp","MERGE","Mesa Trail WP","","Manual","","2025-10-21 13:18:01 +0200","true","2025-10-13 07:58:57 +0200","web","","","","","97","true","all conditions","Tag","Equals","mesa-trail-wp","4","","","","","","","","","","","",""
"310341992585","ashland","MERGE","Ashland","","Manual","","2025-10-21 13:18:01 +0200","true","2025-10-13 07:58:57 +0200","web","","","","","98","true","all conditions","Tag","Equals","ashland","2","","","","","","","","","","","",""
"310342025353","denver-leather","MERGE","Denver Leather","","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:57 +0200","web","","","","","99","true","all conditions","Tag","Equals","denver-leather","2","","","","","","","","","","","",""
"310342058121","fall-winter-2023","MERGE","Fall/Winter 2023","","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:57 +0200","web","","","","","100","true","all conditions","Tag","Equals","fall-winter-2023","14","","","","","","","","","","","",""
"310342090889","zelen","MERGE","Zelen","","Manual","","2025-10-21 13:18:01 +0200","true","2025-10-13 07:58:57 +0200","web","","","","","101","true","all conditions","Tag","Equals","zelen","5","","","","","","","","","","","",""
"310342123657","dillon","MERGE","Dillon","","Manual","","2025-10-23 13:18:14 +0200","true","2025-10-13 07:58:57 +0200","web","","","","","102","true","all conditions","Tag","Equals","dillon","15","","","","","","","","","","","",""
"310342156425","kona","MERGE","Kona","","Manual","","2025-10-21 13:18:01 +0200","true","2025-10-13 07:58:57 +0200","web","","","","","103","true","all conditions","Tag","Equals","kona","2","","","","","","","","","","","",""
